leader,tweets,sentiment
Boris Johnson,I think BorisJohnson is already showing the strains in this job The man is struggling BorisOut boristhebutcher HerdimmunityIsMurder herdimmunity Herd_Immunity TimetoPrepare Marr Ridge COVID19 coronavirus Conservatives,neutral
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,I wish I could get a coronavirus test because then I would know I have it and when better I could volunteer to help my,positive
Boris Johnson,If you have a new continuous cough OR a high temperature three hundred and seventy-eight degrees or higher you should stay at home for seven days,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Hey BorisJohnson why the bizarre UK experiment to flatten the peak by keeping schools open Hoping to spread just th,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,One doctor s story We do not have the masks goggles or the staff BorisJohnson,neutral
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,cliodiaspora Peston BorisJohnson coronaUK coronavirus Dear GOVUK Polite but urgent request to please appoint,neutral
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,If you have a new continuous cough OR a high temperature three hundred and seventy-eight degrees or higher you should stay at home for seven days,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,We are looking for a huge community effort said a source A source where is the bloody Government What is Mr Johnson paid for where is the reassurance to The Nation I ask again who is running the United Kingdom BorisJohnson Sooty and Sweep,negative
Boris Johnson,Your plan BorisJohnson for tackling Coronavirus is to let it work its way through the population and take the lives of our,neutral
Boris Johnson,Where is BorisJohnson and our government Obviously Coronavirus does not harm on Sunday s so we will wait till Monday to maybe step this whole thing up before it is to late,negative
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,coronavirus has exposed BorisJohnson and the Conservatives for the incompetent and uncaring liars that they are We o,negative
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Extremely good thread on social distancing Misconceptions etc Most stuff has been posted but here it is combined Show everyone,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,If you have a new continuous cough OR a high temperature three hundred and seventy-eight degrees or higher you should stay at home for seven days,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,10DowningStreet BorisJohnson urgently needs to address the nation it is ridiculous that we are hearing updates from anonymous sources Trump is a clown but at least he is addressed his nation directly in a national address COVID19 coronavirus CoronaVirusUpdates StayHome,negative
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,So BorisJohnson what is going to happen to all the homeless people throughout this Coronavirus outbreak they are huma,neutral
Boris Johnson,peterjukes BorisJohnson Schofe hollywills mvdct On Sunday evening after a tip off from CereinynOrd follow her f,neutral
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,As the days go by it is increasingly obvious that Coronavirus is not a crisis to BorisJohnson it is an opportunity to ease th,neutral
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,MattHancock you did well on AndrewMarr9 Keep it up and keep supporting your staff BorisJohnson needs to be talking to the country daily now though to stop the rumours coronavirus,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,If you have a new continuous cough OR a high temperature three hundred and seventy-eight degrees or higher you should stay at home for seven days,positive
Boris Johnson,More Global experts slam the UK government for their approach to Coronavirus The British public deserve to know why Boris,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,greg_fire MrJoeGooch BorisJohnson No offense but I do not think we should take our advice from Italy Italy Population 60m Coronavirus cases 15K Deaths 1K UK Population 66m Coronavirus cases seven hundred and ninety-eight Deaths ten Italy had their first confirmed case 24hrs before the UK,positive
Boris Johnson,coronavirus The British government prepared to tell the elderly to self isolate to protect themselves Surely the government should be protecting them BorisJohnson,positive
Boris Johnson,CoronaVirusUpdates The British Government s response to Coronavirus is putting us all in a state of Panic Confusion an,neutral
Boris Johnson,Should We not be driving for Flock Immunity Sheeple Covid19 Coronavirus BorisJohnson,neutral
Boris Johnson,coronavirus has exposed BorisJohnson and the Conservatives for the incompetent and uncaring liars that they are We o,negative
Boris Johnson,peterjukes BorisJohnson Schofe hollywills mvdct On Sunday evening after a tip off from CereinynOrd follow her f,neutral
Boris Johnson,MattHancock BorisJohnson plsd to hear we are having more ventilators made how many ventilators are being made daily weekly How many do we need Who is agreeing to do this coronavirus COVID19 ventilators,positive
Boris Johnson,peterjukes BorisJohnson Schofe hollywills mvdct On Sunday evening after a tip off from CereinynOrd follow her f,neutral
Boris Johnson,The dangers of AntiVaxxers have been called out by the govt for decades Yet now faced with a coronavirus pandemic it,neutral
Boris Johnson,CoronaVirusUpdates The British Government s response to Coronavirus is putting us all in a state of Panic Confusion an,neutral
Boris Johnson,I can not even believe what is happening in UK where BorisJohnson decides he will let coronavirus run its course amp count,neutral
Boris Johnson,BorisJohnson says be prepared to lose loved ones before their time Juventus forward Cristiano will transform the hotels he owns in Portugal into hospitals to help in the fight against coronavirus Leader but only one will make things happen COVID19,positive
Boris Johnson,Many of us remember Iain McDonald who gave daily public briefings during Falklands War He was an MoD civil servant Sur,positive
Boris Johnson,Your plan BorisJohnson for tackling Coronavirus is to let it work its way through the population and take the lives of our,neutral
Boris Johnson,CoronaVirusUpdates The British Government s response to Coronavirus is putting us all in a state of Panic Confusion an,neutral
Boris Johnson,Your plan BorisJohnson for tackling Coronavirus is to let it work its way through the population and take the lives of our,neutral
Boris Johnson,BorisJohnson Your Prime Minister s plan for tackling Coronavirus is to let it work its way through the population and ta,neutral
Boris Johnson,COVIDãƒ¼19 coronavirus BorisJohnson twenty-one people in the uk die to coronavirus man like Borris,neutral
Boris Johnson,More Global experts slam the UK government for their approach to Coronavirus The British public deserve to know why Boris,positive
Boris Johnson,I wish I could get a coronavirus test because then I would know I have it and when better I could volunteer to help my older relatives or at my local hospital EKHUFT_RI_QEQM knowing I had built up some resistance Will tests ever be available for this purpose BorisJohnson,positive
Boris Johnson,Look it is all very well and good to say self isolate for four months which I am totally okay with btw but how are we supposed to be able to afford to buy the food we need to survive when my mum s bookshop is her only source of income UKParliament BorisJohnson coronavirus,positive
Boris Johnson,More Global experts slam the UK government for their approach to Coronavirus The British public deserve to know why Boris,positive
Boris Johnson,ricardoreid19 And realDonaldTrump amp BorisJohnson r both behaving like they r immune suggesting covid is artificial amp they have had the vaccine coronavirus marr,negative
Boris Johnson,The only person to blame for this shocking finding is the man himself When you have spent your whole career both in and o,negative
Boris Johnson,BorisJohnson DHSCgovuk nhs would not it be a good idea to issue pensioners and those at higher risk with emergency packs with hand wash wipes and antibacterial gel z tissues and mask jeremycorbyn coronaUK coronavirus nhs COVID19,positive
Boris Johnson,Well done GMB_union Trade unions lead where the government fails I have signed the GMBs petition to call on BorisJohn,negative
Boris Johnson,One doctor s story We do not have the masks goggles or the staff MattHancock BorisJohnson Marr Ridge This is happening on your watch ToryBritain ten years of political austerity and HostileEnvironment have led to this ShameOnYou,neutral
Boris Johnson,BorisJohnson So the airlines will come begging for help from the coronavirus I suggest you do not help any airline that does not provide flights for the safe return of passengers stuck in other countries Do not put airlines above people getting home Leave no one alone,positive
Boris Johnson,CoronaVirusUpdates The British Government s response to Coronavirus is putting us all in a state of Panic Confusion an,neutral
Boris Johnson,BorisJohnson What happens if a homeless person contracts the Coronavirus How do they isolate themselves,neutral
Boris Johnson,BorisJohnson Your Prime Minister s plan for tackling Coronavirus is to let it work its way through the population and ta,neutral
Boris Johnson,The UK needs to sort its messy coronavirus self out Fucking wash your hands properly and stay in doors BorisJohnson act properly you utter Johnson To the unintellegent loathsome panic buyers make you buy three of everything once it is all over to support local business,negative
Boris Johnson,If you have a new continuous cough OR a high temperature three hundred and seventy-eight degrees or higher you should stay at home for seven days,positive
Boris Johnson,Hi BorisJohnson any chance you can let the public know who released this chemical weapon we are not stupid enough to believe it came from someone eating a bat coronavirus,positive
Boris Johnson,This is my gorgeous son Jack He is six This was him after his 2nd open heart surgery HE WILL NOT BE COLLATERAL DAMAGE I,positive
Boris Johnson,BorisJohnson no workers should be left out of pocket for selfisolating to avoid spreading Coronavirus If you ag,neutral
Boris Johnson,The only person to blame for this shocking finding is the man himself When you have spent your whole career both in and o,negative
Boris Johnson,clairedaphne Think elderly expected to stay at home until they starve Solve the care problem amp thr housing shortages Never let a crisis go without using it BorisJohnson dominicCummings marr AndrewMarr9 BBCPolitics covid coronavirus,negative
Boris Johnson,peterjukes BorisJohnson Schofe hollywills mvdct On Sunday evening after a tip off from CereinynOrd follow her f,neutral
Boris Johnson,So I have a question for you Would Do you trust BorisJohnson with your life COVID19 COVIDãƒ¼19 coronavirus Coron,neutral
Boris Johnson,More Global experts slam the UK government for their approach to Coronavirus The British public deserve to know why Boris,positive
Boris Johnson,coronavirus has exposed BorisJohnson and the Conservatives for the incompetent and uncaring liars that they are We o,negative
Boris Johnson,If you have a new continuous cough OR a high temperature three hundred and seventy-eight degrees or higher you should stay at home for seven days,positive
Boris Johnson,BorisJohnson is A Wonderful Human Being Thank Goodness we have him at a Time like this coronavirus,positive
Boris Johnson,If you have symptoms of coronavirus it is important that you stay at home for seven days to help protect your friends and,positive
Boris Johnson,Coronavirus Isolation for over70s within weeks BBC News Is it me or is BorisJohnson trying to avoid Mother s Day this year,neutral
Boris Johnson,Herd Strategy is RISKY Many more will die under BorisJohnson laisserfaire approach Already Italy model s saving lives,positive
Boris Johnson,BorisJohnson JustinWelby BBCNews itvnews Charles_HRH This is the leadership ewe need,neutral
Boris Johnson,Billionaires amp the scrounging rich go begging to BorisJohnson to bail their own arses out coronavirus jeremycorbyn a,positive
Boris Johnson,So HerdImmunity is no longer govt policy BorisJohnson is the advice still take it on the chin amp just allow the disea,neutral
Boris Johnson,BorisJohnson MattHancock please implement policy that elderly vulnerable have access to supermarkets first thing each morning following thorough clean down over night stoppanicbuying COVID19 coronavirus,negative
Boris Johnson,peterjukes BorisJohnson Schofe hollywills mvdct CereinynOrd afneil JeremyVineOn5 fourteen Fake news merchants on the cesspit that is Twitter are distributing a clip of the Prime Minister screamed the Sun the next day beneath the headline Boris has been misrepresented by an out of context clip and it must stop TakeItOnTheChin,negative
Boris Johnson,Dr Jenny Harries Deputy Chief Medical Officer came into Downing Street to answer some of the most commonly asked questi,positive
Boris Johnson,coronavirus has exposed BorisJohnson and the Conservatives for the incompetent and uncaring liars that they are We o,negative
Boris Johnson,AndrewMarr9 where is this website that shows the areas and regions of virus contagion and deaths for the UK that MattHancock has just said on your show coronavirus coronavirusuk CoronaVirusUpdates MailOnline DailyMirror Telegraph DavidLammy BorisJohnson,neutral
Boris Johnson,So last night I could not breathe and felt like I was actually going to die and there was no ambulances at all to come and help me People do not just suffer with coronavirus and what help is there going to be to the people who seriously need help NHS BorisJohnson this is scary,negative
Boris Johnson,"If you do not measure something you can not manage it Out of a population of sixty-seven million, five hundred thousand only thirty-seven thousand, seven hundred and forty-six people have been tested",neutral
Boris Johnson,The British Government s response to Coronavirus can be really easily explained In a nutshell they will not follow WHO,positive
Boris Johnson,Ahem BorisJohnson Listen to the people around you Ye dumb feck COVID_19uk Covid_19 coronavirus,negative
Boris Johnson,piersmorgan BorisJohnson Piers using the coronavirus as a stick to bash Boris because he patched him for an interview,neutral
Boris Johnson,coronavirus has exposed BorisJohnson and the Conservatives for the incompetent and uncaring liars that they are We o,negative
Boris Johnson,BorisJohnson PLEASE HELP ALL THE PEOPLE WHO GOT DUMPED IN POLAND BY AIRLINES WITHOUT WARNING coronavirus Ryanair KrakowAirport BRING THEM HOME,neutral
Boris Johnson,CMO_England NHSEngland BorisJohnson MattHancock Jeremy_Hunt why are we not following the quarantine measures that have worked,neutral
Boris Johnson,piersmorgan BorisJohnson Italy Population 60m Coronavirus cases 15K Deaths 1K UK Population 66m Coronavirus case,neutral
Boris Johnson,Extremely good thread on social distancing Misconceptions etc Most stuff has been posted but here it is combined Show everyone How do I get a copy to BorisJohnson PHE_uk loon and uksciencechief coronavirus HighRiskCovid19,positive
Boris Johnson,Hey BorisJohnson why the bizarre UK experiment to flatten the peak by keeping schools open Hoping to spread just th,positive
Boris Johnson,narendramodi spoke to British Prime Minister BorisJohnson and Israeli PM netanyahu and discussed the issue Covid19 pandem,neutral
Boris Johnson,coronavirus has exposed BorisJohnson and the Conservatives for the incompetent and uncaring liars that they are We o,negative
Boris Johnson,Kang Kyungwha amp the South Korean govtmt response to coronavirus is the opposite of the pitiful shambolic inept amp d,neutral
Boris Johnson,The only person to blame for this shocking finding is the man himself When you have spent your whole career both in and o,negative
Boris Johnson,narendramodi spoke to British Prime Minister BorisJohnson and Israeli PM netanyahu and discussed the issue Covid19 pandem,neutral
Boris Johnson,CoronaVirusUpdates The British Government s response to Coronavirus is putting us all in a state of Panic Confusion an,neutral
Boris Johnson,Well done GMB_union Trade unions lead where the government fails I have signed the GMBs petition to call on BorisJohn,negative
Boris Johnson,Here is a LibDems figure explicitly urging us to ignore government advice and risk more deaths from Coronavirus becaus,positive
Boris Johnson,afneil lewis_goodall Come on BorisJohnson you have always wanted to be your idol Winston Churchill Start being visible daily bidaily to reassure people and stop panic buying and make communities work together CoronaVirusUpdates COVID19 coronavirus churchill,neutral
Boris Johnson,The only person to blame for this shocking finding is the man himself When you have spent your whole career both in and o,negative
Boris Johnson,coronavirus has exposed BorisJohnson and the Conservatives for the incompetent and uncaring liars that they are We o,negative
Boris Johnson,easyJet Ryanair jet2tweets wizzair BorisJohnson DO SOMETHING GET US HOME coronavirus,neutral
Boris Johnson,"BorisJohnson If forty million people catch coronavirus at a morality rate of five two million people will die four one million, six hundred thousand peo",neutral
Boris Johnson,cliodiaspora Peston BorisJohnson coronaUK coronavirus Dear GOVUK Polite but urgent request to please appoint,neutral
Boris Johnson,cliodiaspora Peston BorisJohnson coronaUK coronavirus Dear GOVUK Polite but urgent request to please appoint,neutral
Boris Johnson,fjs18almond BorisJohnson She also made the excellent point that we are all in this together amp she has heard of far far too many examples of racism against people of Asian appearance Whereas in fact which she did not say we have much to learn from the Asian response to coronavirus,positive
Boris Johnson,Hey BorisJohnson why the bizarre UK experiment to flatten the peak by keeping schools open Hoping to spread just th,positive
Boris Johnson,Easiest solution is to get the Conservatives and BorisJohnson to take back the cost of their social policy Perhaps ageukcampaigns could get behind that idea instead savethebbc,negative
Boris Johnson,Billionaires amp the scrounging rich go begging to BorisJohnson to bail their own arses out coronavirus jeremycorbyn asks him to help the poor amp vulnerable,positive
Boris Johnson,Why do not BorisJohnson and MattHancock selflessly infect themselves with coronavirus as they tell others to do fo,neutral
Boris Johnson,CoronaVirusUpdates The British Government s response to Coronavirus is putting us all in a state of Panic Confusion and Fear This is NOT coincidental We see you BorisJohnson We know exactly what you are doing,positive
Boris Johnson,Damning indictment by the BMA regarding the lack of urgent action amp clear guidance from BorisJohnson s Government regarding coronavirusuk CoronaVirus,positive
Boris Johnson,coronavirus has exposed BorisJohnson and the Conservatives for the incompetent and uncaring liars that they are We o,negative
Boris Johnson,Why do not BorisJohnson and MattHancock selflessly infect themselves with coronavirus as they tell others to do fo,neutral
Boris Johnson,If you have a new continuous cough OR a high temperature three hundred and seventy-eight degrees or higher you should stay at home for seven days,positive
Boris Johnson,More Global experts slam the UK government for their approach to Coronavirus The British public deserve to know why Boris,positive
Boris Johnson,Hey BorisJohnson why the bizarre UK experiment to flatten the peak by keeping schools open Hoping to spread just th,positive
Boris Johnson,Number10press MattHancock BorisJohnson An idea for tackling coronavirus an army of the willing I do not know or understand this theory of herd immunity but could people volunteer to contract covid19 stay in a secure hotel for the duration then re enter society when better,positive
Boris Johnson,BorisJohnson If my elderly parents die of coronavirus because of your insane Herding strategy I will sue you amp your government Promise ukcoronavirus,negative
Boris Johnson,Hey BorisJohnson why the bizarre UK experiment to flatten the peak by keeping schools open Hoping to spread just th,positive
Boris Johnson,Kang Kyungwha amp the South Korean govtmt response to coronavirus is the opposite of the pitiful shambolic inept amp deceitful response from the British govtmt to the covid19UK clueless MattHancock BorisJohnson testing people respirators Plans in place Nope marr,neutral
Boris Johnson,do not sit on your hands any longer BorisJohnson it is time to act coronavirusuk coronavirus,neutral
Boris Johnson,fjs18almond BorisJohnson We are already beyond nine hundred even on the Govt s woefully underreported coronavirus stats We are so far behind the curve it is ridiculous,negative
Boris Johnson,The Govt gets thing wrong over Brexit Time for the country to come together The Govt gets things wrong over coronavirus Time for the country to come together Take some fucking ownership for a change BorisJohnson,negative
Boris Johnson,If you have a new continuous cough OR a high temperature three hundred and seventy-eight degrees or higher you should stay at home for seven days,positive
Boris Johnson,BorisJohnson why are you and your government giving us no clear instructions or showing evidence of the strategy s you are taking Why not share it with the world Lead Boris stand up put systems in place and organise coronaUK coronavirusuk CoronaVirusUpdates coronavirus,negative
