Sr. no.,tweets,sentiment,classification
29,DrJitendraSingh Ssc exam coronaviruscare DrJitendraSingh sir delay it,neutral,opinion
30,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
31,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
32,Epidemiological analysis of an outbreak in Hong Kong revealed that blood group O was associated with a lower risk of S,neutral,opinion
33,DrJitendraSingh Plzzzz sirr ssc exam pura desh me honaa h Esme bhi gathering hoga coronaviruscare DrJitendraSingh sir plzz take some action regarding ssc exam dates plzz,neutral,opinion
34,The worldwide Coronavirus pandemic has wiped out more than sixteen trillion from global stock markets in less than a month,neutral,reporting
35,AdamFederer coronaviruscare He meant stocks declined globally bringing a loss of 16trillion,neutral,opinion
36,The worldwide Coronavirus pandemic has wiped out more than sixteen trillion from global stock markets in less than a month,neutral,reporting
37,coronaviruscare Wonder where they buried all those that were infected,neutral,opinion
38,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
39,Imagine the blow to containment efforts if one person just one in that crowd carries the Coronavirus,neutral,opinion
40,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
41,coronaviruscare Everyone is leaving out that when a stock gets sold the seller gets paid,neutral,opinion
42,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
43,Severity of COVID19 is directly related to size of inoculum A larger initial dose gets you a worse disease Explains,neutral,opinion
44,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
45,coronaviruscare You mean people sold sixteen trillion worth and now have that in cash boo hoo rich a holes,neutral,opinion
46,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
47,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
48,"Norway Sweden Denmark Scandinavian nations two thousand, nine hundred and six positive cases between the three six deaths so far Death rate two",neutral,reporting
49,The worldwide Coronavirus pandemic has wiped out more than sixteen trillion from global stock markets in less than a month,neutral,reporting
50,ZeeNewsHindi TajinderBagga BajrangPunia sudhirchaudhary realshooterdadi ChouhanShivraj In simple words and do not panic about coronaviruscare,neutral,opinion
51,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
52,The worldwide Coronavirus pandemic has wiped out more than sixteen trillion from global stock markets in less than a month,neutral,reporting
53,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
54,The worst is definitely over in China All it took them was three months Will the worst be over in Europe in three months,neutral,opinion
55,ZeeNewsHindi TajinderBagga BajrangPunia sudhirchaudhary ChouhanShivraj realshooterdadi in simple words do not panic about coronaviruscare,neutral,opinion
56,The worldwide Coronavirus pandemic has wiped out more than sixteen trillion from global stock markets in less than a month,neutral,reporting
57,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
58,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
59,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
60,Australian Home Affairs Minister Peter Dutton has been admitted to a Queensland hospital after testing positive for co,sadness,opinion
61,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
62,In South African we still waiting learners to get coronaviruscare first before our Government and CyrilRamaphosa and,neutral,opinion
63,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
64,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
65,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
66,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
67,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
68,coronaviruscare can i get it from someone licking my eye asking for a friend,neutral,opinion
69,Aiming for herd immunity in COVID19 is an irresponsible strategy according to Alberto Mantovani leading Italian phys,neutral,opinion
70,The worst is definitely over in China All it took them was three months Will the worst be over in Europe in three months,neutral,opinion
71,ankuagarwal CMOMaharashtra mybmc AUThackeray priyankac19 WHO coronaviruscare please share,neutral,opinion
72,Aiming for herd immunity in COVID19 is an irresponsible strategy according to Alberto Mantovani leading Italian phys,neutral,opinion
73,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
74,If premier league is void or cancelled due to coronaviruscare what will happen to all the bets I have lost to you pple Bet9jaOfficial May be you should return all the money I lost and I will return all the money I won,neutral,opinion
75,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
76,coronaviruscare pandachaaan1 Hi can I have the source of the data,neutral,opinion
77,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
78,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
79,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
80,jones_active coronaviruscare sadly you only have your keyboard which bought by your mom,neutral,opinion
81,Severity of COVID19 is directly related to size of inoculum A larger initial dose gets you a worse disease Explains,neutral,opinion
82,India and the United States Two of the world s largest democracies seventeen billion people between them An all out effor,neutral,opinion
83,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
84,What do teachers do during the coronaviruscare You create an online class for your students using Seesaw drgoffney AldineISD CGomez2_AISD Vardeman_AISD homelearning distancelearning kindergarten COVID19 DigitalLearning InnovateYourTeaching,neutral,opinion
85,Hii BCCI in IPL plz remove shake hand and do namaste Prevention is better than cure coronaviruscare,neutral,opinion
86,Aiming for herd immunity in COVID19 is an irresponsible strategy according to Alberto Mantovani leading Italian phys,neutral,opinion
87,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
88,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
89,Aiming for herd immunity in COVID19 is an irresponsible strategy according to Alberto Mantovani leading Italian phys,neutral,opinion
90,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
91,Epidemiological analysis of an outbreak in Hong Kong revealed that blood group O was associated with a lower risk of S,neutral,opinion
92,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
93,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
94,Aiming for herd immunity in COVID19 is an irresponsible strategy according to Alberto Mantovani leading Italian phys,neutral,opinion
95,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
96,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
97,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
98,Aiming for herd immunity in COVID19 is an irresponsible strategy according to Alberto Mantovani leading Italian phys,neutral,opinion
99,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
100,RussianEmbassy RusEmbassyJ mfa_russia WHO coronaviruscare COVID19Tracking subgap 2019nCoVwatcher bbchealth goodhealth NHSuk R_S_P_H Nice support This is the true alliance right,neutral,opinion
101,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
102,Avoid PayPal They blocked my AC without telling reason I have balance in PayPal AC Money is hold capatative amp not being returned to either buyer or seller It may happen to you Alert BJP4India INCIndia PMOIndia RealHistoryPic BBCWorld coronaviruscare SaudiMOH,anger,opinion
103,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
104,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
105,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
106,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
107,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
108,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
109,Aiming for herd immunity in COVID19 is an irresponsible strategy according to Alberto Mantovani leading Italian phys,neutral,opinion
110,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
111,In South African we still waiting learners to get coronaviruscare first before our Government and CyrilRamaphosa and health Minister decided to closed down all schools For now I have never heard our president speak about this virus Blue tick again COVIDãƒ¼19,neutral,opinion
112,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
113,coronaviruscare bbckirstylang what is their incentive to selfisolate or social distance In the UK many feel they are ignored they have little financial securityfeel betrayed by older generations,neutral,opinion
114,Aiming for herd immunity in COVID19 is an irresponsible strategy according to Alberto Mantovani leading Italian phys,neutral,opinion
115,Aiming for herd immunity in COVID19 is an irresponsible strategy according to Alberto Mantovani leading Italian phys,neutral,opinion
116,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
117,coronaviruscare Exactly why I am staying my ass home I am thirty-four could not care less but I do not want all the eldery folks dying,neutral,opinion
118,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
119,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
120,SARSCoV2 infects through ACE2 receptors leading to COVID19 pneumonia while also causing acute myocardial injury an,neutral,opinion
121,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
122,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
123,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
124,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
125,These will be a good inputs for having right knowledge about CORONA Treatment and Management MoHFW_INDIA ICMRDELHI dr_maheshsharma drharshvardhan amitabhk87 WHO coronaviruscare directorBIMTECH DGalgotia aiims_newdelhi Coronaindia,neutral,opinion
126,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
127,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
128,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
129,Epidemiological analysis of an outbreak in Hong Kong revealed that blood group O was associated with a lower risk of S,neutral,opinion
130,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
131,coronaviruscare The most important thing is testing all patients include mild or no symptoms Some countries only test serious patient In this case flatten curve is fake Help your citizens,neutral,opinion
132,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
133,kiranshaw I fully agree with kiranshaw views we have to first think of containing COVID19 coronaviruscare Virus Then we can continue our fight with CAA NRC NPR with the Government which is also as dangerous to humans as Covid19 ArvindKejriwal AAPBangalore AAPKarnataka,neutral,opinion
134,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
135,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
136,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
137,flexhamed coronaviruscare Yo bare drama i have to holla at you quick,neutral,opinion
138,coronaviruscare Considering its from two thousand and eight is there a link that describes what your mentioning of the new strain SarsCov2 All I have found is info pertaining to using the blood from recovered patients to help in treatment but no mention of Type O blood,neutral,opinion
139,Epidemiological analysis of an outbreak in Hong Kong revealed that blood group O was associated with a lower risk of S,neutral,opinion
140,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
141,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
142,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
143,MoCA_GoI PMOIndia DDCAdvocacy LOTAirlinesUS narendramodi please note that I cancelled my trip to Europe coronaviruscare virusKuwait airways has been kind enough to give me an open ticket for one yearPolishAirlines from Budapest has refused kindly help get refund,neutral,opinion
144,coronaviruscare Korean data may be skewed by the fact that a large proportion of tests were completed on members of that cult,neutral,opinion
145,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
146,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
147,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
148,The Ortega genocidal regime in Nicaragua has not had enough killing more than five hundred innocent and unarmed students Now is welcoming coronaviruscare with children welcoming tourists from a cruise GCR2P SAdamsR2P,neutral,opinion
149,Epidemiological analysis of an outbreak in Hong Kong revealed that blood group O was associated with a lower risk of S,neutral,opinion
150,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
151,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
152,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
153,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
154,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
155,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
156,SARSCoV2 infects through ACE2 receptors leading to COVID19 pneumonia while also causing acute myocardial injury an,neutral,opinion
157,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
158,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
159,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
160,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
161,coronaviruscare Is COVID19 more like an influenza A or B,neutral,opinion
162,The Ortega genocidal regime in Nicaragua has not had enough killing more than five hundred innocent and unarmed students Now is welcoming coronaviruscare with thousand government employees forced to march GCR2P SAdamsR2P,neutral,opinion
163,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
164,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
165,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
166,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
167,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
168,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
169,Unacceptable customer service by Amtrak today supervisor Jasmine employee eight hundred and thirty-nine lawyer has been notified Amtrak,neutral,reporting
170,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
171,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
172,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
173,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
174,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
175,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
176,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
177,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
178,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
179,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
180,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
181,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
182,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
183,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
184,Epidemiological analysis of an outbreak in Hong Kong revealed that blood group O was associated with a lower risk of S,neutral,opinion
185,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
186,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
187,coronaviruscare Maximum working Youths n Students studying abroad or roaming outside,neutral,opinion
188,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
189,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
190,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
191,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
192,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
193,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
194,coronaInkenya coronaviruscare Washing hands with soap should be a must to all of us Keep on sanitizing hands every one hour dailynation Belive_Kinuthia WilliamsRuto johnnjenga MigunaMiguna UASU_KE,neutral,joke
195,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
196,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
197,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
198,ankuagarwal CMOMaharashtra mybmc AUThackeray priyankac19 WHO coronaviruscare please share,neutral,opinion
199,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
200,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
201,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
202,The Ortega genocidal regime in Nicaragua has not had enough killing more than five hundred innocent and unarmed students Now is welcoming coronaviruscare with thousand government employees forced to march GCR2P SAdamsR2P,neutral,opinion
203,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
204,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
205,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
206,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
207,Epidemiological analysis of an outbreak in Hong Kong revealed that blood group O was associated with a lower risk of S,neutral,opinion
208,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
209,Imagine the blow to containment efforts if one person just one in that crowd carries the Coronavirus,neutral,opinion
210,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
211,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
212,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
213,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
214,India and the United States Two of the world s largest democracies seventeen billion people between them An all out effor,neutral,opinion
215,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
216,Ringham7 sarahkliff chrislhayes coronaviruscare Teachers are not babysitters Schools need to be closed indefinitely Child care during any emergency is the responsibility of the parents Kids are not necessarily immune and they can be carriers Support staff at schools are at risk Schools are small cities Not safe,neutral,opinion
217,"Norway Sweden Denmark Scandinavian nations two thousand, nine hundred and six positive cases between the three six deaths so far Death rate two",neutral,reporting
218,coronaviruscare Is it,neutral,opinion
219,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
220,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
221,two thousand and twenty Took some time but just finished the theofficenbc best thing to come through during the coronaviruscare,neutral,reporting
222,Epidemiological analysis of an outbreak in Hong Kong revealed that blood group O was associated with a lower risk of S,neutral,opinion
223,Epidemiological analysis of an outbreak in Hong Kong revealed that blood group O was associated with a lower risk of S,neutral,opinion
224,India and the United States Two of the world s largest democracies seventeen billion people between them An all out effor,neutral,opinion
225,Tatiacha coronaviruscare It is the flu,neutral,opinion
226,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
227,RussianEmbassy mfa_russia WHO coronaviruscare COVID19Tracking subgap 2019nCoVwatcher bbchealth goodhealth NHSuk R_S_,neutral,opinion
228,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
229,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
230,Epidemiological analysis of an outbreak in Hong Kong revealed that blood group O was associated with a lower risk of S,neutral,opinion
231,Corona virus is like Pasta The Chinese invented it but the Italians spread it all over the world coronaviruscare,neutral,opinion
